$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$d\sigma^{W^-}/dH_\text{T}\text{ [fb/GeV]}$,Stat +,Stat -,JetScaleEff1 +,JetScaleEff1 -,JetScaleEff2 +,JetScaleEff2 -,JetScaleEff3 +,JetScaleEff3 -,JetScaleEff4 +,JetScaleEff4 -,JetScaleEff5 +,JetScaleEff5 -,JetScaleEff6 +,JetScaleEff6 -,JetScaleEta1 +,JetScaleEta1 -,JetScaleEta2 +,JetScaleEta2 -,JetScaleHighPt +,JetScaleHighPt -,JetScaleMC +,JetScaleMC -,JetScalePileup1 +,JetScalePileup1 -,JetScalePileup2 +,JetScalePileup2 -,JetScalePileup3 +,JetScalePileup3 -,JetScalePileup4 +,JetScalePileup4 -,JetScaleFlav1Known +,JetScaleFlav1Known -,JetScaleFlav2 +,JetScaleFlav2 -,JetScaleBjet +,JetScaleBjet -,JetScalepunchT +,JetScalepunchT -,JetResolution10 +,JetResolution10 -,JetSFBeff +,JetSFBeff -,JetSFCeff +,JetSFCeff -,JetSFLmistag +,JetSFLmistag -,JetSFHighPt +,JetSFHighPt -,JetJVFcut +,JetJVFcut -,ElScaleR12 +,ElScaleR12 -,ElScaleZee +,ElScaleZee -,ElScalePS +,ElScalePS -,ElResolution +,ElResolution -,ElSFReco +,ElSFReco -,ElSFId +,ElSFId -,ElSFTrigger +,ElSFTrigger -,ElSFIso +,ElSFIso -,ElSFChargeMisID +,ElSFChargeMisID -,METScale +,METScale -,METResLong +,METResLong -,METResTrans +,METResTrans -,PileupWeight +,PileupWeight -,QCDlowRange +,QCDlowRange -,QCDhighRange +,QCDhighRange -,QCDvarIso +,QCDvarIso -,QCDvarElID +,QCDvarElID -,QCDfitUncert +,QCDfitUncert -,QCDotherGen +,QCDotherGen -,QCDfitRebin +,QCDfitRebin -,XsecZ +,XsecZ -,XsecTop +,XsecTop -,XsecDibos +,XsecDibos -,BkgTtbarNorm +,BkgTtbarNorm -,BkgMCstat +,BkgMCstat -,WHFmodel +,WHFmodel -,LumiUncert +,LumiUncert -,UnfoldMCstat +,UnfoldMCstat -,UnfoldOtherGen +,UnfoldOtherGen -,UnfoldReweight +,UnfoldReweight -
75.0,50.0,100.0,126.7,0.2,-0.2,9.0,-8.8,-1.8,1.8,0.1,-0.1,0.1,-0.1,-0.3,0.2,0.5,-0.5,4.5,-4.4,2.2,-2.2,-0.01,-0.01,-0.03,-0.02,0.4,-0.03,-1.1,1.0,0.2,-0.2,6.0,-5.8,1.7,-1.6,-7.2,7.4,0.01,-0.002,0.02,0.002,16.2,-16.2,-0.1,0.1,-0.2,0.1,-0.2,0.2,-0.01,-0.003,-1.5,1.2,0.002,0.003,0.1,-0.2,-0.03,0.04,-0.1,0.1,0.3,-0.3,1.1,-1.2,0.9,-0.9,0.2,-0.3,-0.003,-0.003,-1.8,2.1,-1.8,1.8,-1.7,1.7,1.0,-1.0,-0.1,3.8,0.2,-0.5,-0.03,0.03,4.6,-4.6,0.4,-0.4,3.4,-3.4,-0.05,0.05,-0.7,0.7,0.1,-0.1,0.1,-0.1,-0.03,0.03,-0.2,0.2,-1.7,1.7,0.3,-0.3,-0.5,0.5,-3.9,3.9,0.9,-0.9
125.0,100.0,150.0,2709.0,2,-2,137,-136,-32,32,2,-2,1,-2,-5,4,7,-8,65,-63,33,-34,-0.2,-0.3,-1,-0.3,5,-1,-14,16,4,-4,90,-87,27,-26,-107,110,0.3,-0.03,0.4,0.04,253,-253,-3,3,-5,4,-4,4,-0.2,-0.1,-25,10,0.03,0.1,21,-22,-1,1,-1,1,6,-6,19,-20,15,-15,5,-5,-0.1,-0.1,-33,34,-28,28,-27,27,16,-14,-2,31,2,-4,-3,3,23,-23,3,-3,31,-31,-1,1,-3,3,1,-1,1,-1,-1,1,-1,1,2,-2,4,-4,-4,4,109,-109,20,-20
175.0,150.0,200.0,982.3,1.2,-1.2,45.6,-46.6,-5.2,5.4,0.7,-0.6,4.9,-4.8,-1.7,1.5,2.6,-2.5,22.2,-21.9,10.9,-10.8,-0.1,-0.1,-0.2,-0.1,1.6,-0.2,-3.8,5.2,2.6,-2.3,28.0,-28.3,7.7,-7.5,-37.2,37.0,0.1,-0.01,0.1,0.01,90.3,-90.3,-2.9,2.9,-2.5,2.4,-1.6,1.9,-0.1,-0.02,-6.3,3.8,3.6,-3.6,14.4,-14.5,-0.3,0.3,-0.5,0.5,2.6,-2.6,7.7,-7.7,5.1,-5.1,1.8,-1.7,-0.02,-0.02,-31.7,31.6,-27.9,27.9,-28.9,28.9,8.2,-7.7,-4.4,6.8,0.3,-1.1,-0.9,0.9,11.5,-11.5,1.9,-1.9,13.9,-13.9,-0.2,0.2,-1.0,1.0,1.5,-1.5,1.0,-1.0,-1.1,1.1,-0.7,0.7,9.9,-9.9,1.8,-1.8,-1.8,1.8,49.9,-49.9,7.2,-7.2
225.0,200.0,250.0,399.9,0.7,-0.7,15.6,-16.2,-2.1,2.2,-1.2,-0.2,2.5,-2.5,-0.7,0.6,1.3,-1.1,7.3,-7.3,3.5,-3.6,-0.03,-0.04,-0.1,-0.05,0.7,-0.1,-1.2,1.5,1.1,-1.1,9.5,-9.7,2.5,-2.5,-13.5,13.4,0.04,-0.005,0.1,0.01,28.4,-28.4,-2.8,3.0,-1.2,1.3,-0.9,0.8,-0.03,-0.01,-2.6,1.5,2.4,-2.2,5.4,-5.4,-0.1,0.1,-0.2,0.2,1.3,-1.4,3.7,-3.7,2.2,-2.0,0.7,-0.9,-0.01,-0.01,-12.7,13.0,-11.4,11.4,-11.7,11.7,2.5,-2.3,-1.8,2.1,0.05,-0.3,-0.4,0.4,1.3,-1.3,1.0,-1.0,5.4,-5.4,0.001,-0.001,-0.3,0.3,1.6,-1.6,0.4,-0.4,-1.4,1.4,-0.4,0.4,2.9,-2.9,1.0,-1.0,-0.9,0.9,18.4,-18.4,2.9,-2.9
275.0,250.0,300.0,191.8,0.5,-0.5,7.1,-6.8,-1.0,1.1,-0.6,0.8,1.1,-1.0,-0.3,0.3,0.6,-0.5,3.4,-3.2,1.5,-1.4,-0.02,-0.02,-0.04,-0.02,0.3,-0.05,-0.6,0.6,0.7,-0.5,4.4,-4.0,1.1,-1.1,-5.9,6.3,0.02,-0.002,0.03,0.003,11.6,-11.6,-2.5,2.6,-0.6,0.6,-0.4,0.6,-0.01,-0.004,-1.6,-0.9,1.2,-1.1,2.2,-2.2,-0.1,0.1,-0.1,0.1,0.8,-0.8,2.0,-2.0,1.1,-1.0,0.5,-0.4,-0.005,-0.005,-5.6,5.6,-4.9,4.9,-5.0,5.0,0.8,-0.6,-0.7,0.9,-0.01,-0.1,-0.2,0.2,0.6,-0.6,0.6,-0.6,2.2,-2.2,-0.004,0.004,-0.1,0.1,1.4,-1.4,0.2,-0.2,-1.3,1.3,-0.3,0.3,0.8,-0.8,0.7,-0.7,-0.6,0.6,4.7,-4.7,1.4,-1.4
325.0,300.0,350.0,101.1,0.4,-0.4,3.7,-3.7,-0.5,0.6,-0.3,0.4,0.6,-0.5,-0.2,0.2,0.4,-0.3,1.8,-1.6,0.9,-0.9,-0.01,-0.01,-0.02,-0.01,0.2,-0.03,-0.3,0.3,0.4,-0.3,2.2,-2.2,0.7,-0.7,-3.3,3.3,0.01,-0.001,0.01,0.001,5.1,-5.1,-1.9,2.0,-0.5,0.5,-0.2,0.3,-0.01,-0.002,-1.1,-0.7,0.6,-0.6,1.1,-1.1,-0.03,0.03,-0.1,0.1,0.4,-0.4,1.2,-1.2,0.7,-0.6,0.3,-0.2,-0.002,-0.002,-2.8,2.7,-2.5,2.5,-2.5,2.5,0.3,-0.3,-0.3,0.4,-0.03,-0.01,-0.1,0.1,0.3,-0.3,0.4,-0.4,1.0,-1.0,-0.01,0.01,-0.01,0.01,1.0,-1.0,0.1,-0.1,-1.0,1.0,-0.2,0.2,0.2,-0.2,0.4,-0.4,-0.4,0.4,3.1,-3.1,0.7,-0.7
375.0,350.0,400.0,56.62,0.25,-0.25,2.1,-2.12,-0.3,0.31,-0.34,0.32,0.23,-0.23,-0.1,0.08,0.2,-0.24,0.93,-0.92,0.52,-0.6,-0.005,-0.01,-0.01,-0.01,0.09,-0.01,-0.16,0.19,0.2,-0.19,1.23,-1.33,0.5,-0.52,-1.96,1.87,0.01,-0.001,0.01,0.001,2.72,-2.72,-1.39,1.44,-0.27,0.27,-0.13,0.17,-0.004,-0.001,-0.85,-0.63,0.43,-0.45,0.65,-0.67,-0.02,0.02,-0.03,0.03,0.27,-0.28,0.67,-0.71,0.38,-0.37,0.15,-0.13,-0.001,-0.001,-1.59,1.56,-1.36,1.36,-1.38,1.38,0.19,-0.19,-0.16,0.22,-0.03,0.003,-0.05,0.05,0.18,-0.18,0.24,-0.24,0.5,-0.5,1e-05,-1e-05,-0.004,0.003,0.7,-0.72,0.06,-0.06,-0.74,0.74,-0.16,0.16,0.17,-0.17,0.28,-0.28,-0.28,0.28,1.39,-1.39,0.42,-0.42
425.0,400.0,450.0,33.3,0.21,-0.21,1.17,-1.28,-0.18,0.18,-0.2,0.19,0.14,-0.14,-0.06,0.05,0.12,-0.14,0.53,-0.51,0.34,-0.3,-0.003,-0.003,-0.01,-0.004,0.06,-0.01,-0.1,0.11,0.12,-0.11,0.65,-0.8,0.29,-0.3,-1.14,1.03,0.003,-0.0004,0.005,0.0005,1.45,-1.45,-0.94,0.99,-0.16,0.16,-0.07,0.1,-0.003,-0.001,-0.62,-0.49,0.26,-0.24,0.38,-0.35,-0.01,0.01,-0.02,0.02,0.16,-0.16,0.42,-0.42,0.22,-0.22,0.09,-0.07,-0.001,-0.001,-0.96,0.85,-0.85,0.85,-0.82,0.82,0.11,-0.11,-0.09,0.12,-0.02,0.005,-0.03,0.03,0.11,-0.11,0.15,-0.15,0.27,-0.27,0.001,-0.001,0.01,-0.01,0.47,-0.48,0.03,-0.03,-0.5,0.5,-0.13,0.13,0.09,-0.09,0.19,-0.19,-0.19,0.19,0.82,-0.82,0.24,-0.24
475.0,450.0,500.0,20.73,0.15,-0.15,0.88,-0.8,-0.11,0.11,-0.12,0.12,0.09,-0.09,-0.04,0.03,0.07,-0.09,0.37,-0.26,0.21,-0.19,-0.002,-0.002,-0.004,-0.003,0.03,-0.01,-0.06,0.07,0.07,-0.07,0.47,-0.4,0.22,-0.19,-0.69,0.78,0.002,-0.0002,0.003,0.0003,0.87,-0.87,-0.64,0.68,-0.14,0.14,-0.05,0.06,-0.002,-0.0005,-0.45,-0.37,0.16,-0.15,0.23,-0.19,-0.01,0.01,-0.01,0.01,0.1,-0.1,0.26,-0.29,0.13,-0.14,0.05,-0.05,-0.0005,-0.0005,-0.53,0.52,-0.48,0.48,-0.49,0.49,0.07,-0.07,-0.05,0.06,-0.02,0.005,-0.02,0.02,0.07,-0.07,0.1,-0.1,0.14,-0.14,0.002,-0.002,0.01,-0.01,0.31,-0.31,0.02,-0.02,-0.33,0.33,-0.09,0.09,0.04,-0.04,0.12,-0.12,-0.15,0.15,0.77,-0.77,0.15,-0.15
525.0,500.0,550.0,13.29,0.13,-0.13,0.56,-0.54,0.11,0.07,-0.08,0.11,0.05,-0.06,-0.02,0.02,0.05,-0.06,0.18,-0.2,0.11,-0.12,-0.001,-0.001,-0.003,-0.002,0.02,-0.003,-0.04,0.04,0.05,-0.04,0.3,-0.28,0.14,-0.12,-0.5,0.47,0.001,-0.0002,0.002,0.0002,0.59,-0.59,-0.43,0.46,-0.09,0.09,-0.03,0.04,-0.001,-0.0003,-0.33,-0.28,0.1,-0.09,0.15,-0.12,-0.004,0.004,-0.01,0.01,0.06,-0.06,0.16,-0.19,0.08,-0.1,0.03,-0.03,-0.0003,-0.0003,-0.33,0.35,-0.29,0.29,-0.34,0.34,0.05,-0.04,-0.03,0.04,-0.01,0.004,-0.01,0.01,0.04,-0.04,0.07,-0.07,0.09,-0.09,0.002,-0.002,0.004,-0.005,0.21,-0.21,0.01,-0.01,-0.22,0.22,-0.07,0.07,0.09,-0.09,0.08,-0.08,-0.12,0.12,0.6,-0.6,0.1,-0.1
