$p_\text{T}^\text{W}\text{ [GeV]}$,$p_\text{T}^\text{W}\text{ [GeV]}$ LOW,$p_\text{T}^\text{W}\text{ [GeV]}$ HIGH,$d\sigma^{W^-}/dp_\text{T}^\text{W}\text{ [fb/GeV]}$,Stat +,Stat -,JetScaleEff1 +,JetScaleEff1 -,JetScaleEff2 +,JetScaleEff2 -,JetScaleEff3 +,JetScaleEff3 -,JetScaleEff4 +,JetScaleEff4 -,JetScaleEff5 +,JetScaleEff5 -,JetScaleEff6 +,JetScaleEff6 -,JetScaleEta1 +,JetScaleEta1 -,JetScaleEta2 +,JetScaleEta2 -,JetScaleHighPt +,JetScaleHighPt -,JetScaleMC +,JetScaleMC -,JetScalePileup1 +,JetScalePileup1 -,JetScalePileup2 +,JetScalePileup2 -,JetScalePileup3 +,JetScalePileup3 -,JetScalePileup4 +,JetScalePileup4 -,JetScaleFlav1Known +,JetScaleFlav1Known -,JetScaleFlav2 +,JetScaleFlav2 -,JetScaleBjet +,JetScaleBjet -,JetScalepunchT +,JetScalepunchT -,JetResolution10 +,JetResolution10 -,JetSFBeff +,JetSFBeff -,JetSFCeff +,JetSFCeff -,JetSFLmistag +,JetSFLmistag -,JetSFHighPt +,JetSFHighPt -,JetJVFcut +,JetJVFcut -,ElScaleR12 +,ElScaleR12 -,ElScaleZee +,ElScaleZee -,ElScalePS +,ElScalePS -,ElResolution +,ElResolution -,ElSFReco +,ElSFReco -,ElSFId +,ElSFId -,ElSFTrigger +,ElSFTrigger -,ElSFIso +,ElSFIso -,ElSFChargeMisID +,ElSFChargeMisID -,METScale +,METScale -,METResLong +,METResLong -,METResTrans +,METResTrans -,PileupWeight +,PileupWeight -,QCDlowRange +,QCDlowRange -,QCDhighRange +,QCDhighRange -,QCDvarIso +,QCDvarIso -,QCDvarElID +,QCDvarElID -,QCDfitUncert +,QCDfitUncert -,QCDotherGen +,QCDotherGen -,QCDfitRebin +,QCDfitRebin -,XsecZ +,XsecZ -,XsecTop +,XsecTop -,XsecDibos +,XsecDibos -,BkgTtbarNorm +,BkgTtbarNorm -,BkgMCstat +,BkgMCstat -,WHFmodel +,WHFmodel -,LumiUncert +,LumiUncert -,UnfoldMCstat +,UnfoldMCstat -,UnfoldOtherGen +,UnfoldOtherGen -,UnfoldReweight +,UnfoldReweight -
12.5,0.0,25.0,1618.0,1,-1,96,-94,-21,22,3,-3,1,-1,-3,3,6,-6,49,-48,25,-24,-0.2,-0.2,-0.3,-0.3,5,-1,-11,12,3,-2,63,-62,20,-18,-76,79,0.1,0.03,0.1,0.1,171,-171,-6,6,-4,3,-3,3,-0.2,-0.1,-18,9,-1,1,16,-17,-0.4,0.3,-1,1,3,-3,11,-11,9,-9,3,-3,-0.03,-0.1,-8,12,4,-4,-4,4,15,-14,-7,28,2,-4,6,-6,52,-52,5,-5,37,-37,-0.5,0.5,-6,6,3,-3,1,-1,-2,2,-2,2,-4,4,3,-3,-4,4,29,-29,51,-51
37.5,25.0,50.0,4037.0,1,-1,203,-204,-49,47,5,-7,2,-4,-9,7,11,-13,100,-98,49,-52,-1,-1,-1,-1,9,-2,-21,24,5,-5,134,-132,41,-40,-161,164,0.2,0.1,0.3,0.2,378,-378,-9,9,-8,7,-6,6,-0.4,-0.2,-39,19,6,-6,41,-44,-1,1,-3,3,9,-10,29,-31,22,-23,7,-7,-0.1,-0.2,-88,87,-86,86,-80,80,27,-25,-6,41,2,-5,-2,2,34,-34,7,-7,48,-48,-1,1,-4,4,4,-4,2,-2,-4,4,-2,2,21,-21,7,-7,-6,6,306,-306,-40,40
62.5,50.0,75.0,2096.0,1,-1,91,-92,-18,17,-2,2,10,-11,-4,3,5,-5,41,-40,20,-21,-0.3,-0.3,-0.4,-0.4,3,-1,-7,10,5,-4,56,-56,16,-15,-72,73,0.1,0.04,0.2,0.1,170,-170,-7,7,-5,5,-3,4,-0.2,-0.1,-13,2,7,-6,20,-21,-1,0.4,-1,1,6,-6,17,-17,12,-12,4,-4,-0.03,-0.1,-67,65,-61,61,-59,59,15,-14,-3,16,1,-2,-6,6,3,-3,3,-3,21,-21,-0.3,0.3,-0.03,0.02,4,-4,1,-1,-3,3,-1,1,11,-11,4,-4,-3,3,31,-31,-13,13
87.5,75.0,100.0,834.0,0.7,-0.7,30.2,-30.1,-2.5,1.8,-2.5,2.7,5.9,-5.7,-1.5,1.3,2.4,-2.3,13.0,-12.4,6.7,-6.7,-0.1,-0.1,-0.2,-0.1,1.3,-0.5,-2.0,2.7,2.5,-2.5,18.1,-18.0,4.5,-4.6,-25.1,25.4,0.04,0.02,0.1,0.04,44.8,-44.8,-4.8,5.1,-2.2,2.4,-1.5,1.7,-0.1,-0.03,-3.1,-2.5,3.7,-3.3,7.0,-6.6,-0.2,0.9,-0.6,0.6,3.0,-2.9,8.0,-7.9,4.5,-4.3,1.8,-1.7,-0.01,-0.04,-23.6,24.9,-19.7,19.7,-21.1,21.1,4.8,-4.4,-1.5,4.3,0.2,-0.5,-2.9,2.9,1.4,-1.4,1.1,-1.1,6.5,-6.5,-0.1,0.1,0.2,-0.2,2.6,-2.6,0.7,-0.7,-2.3,2.3,-0.6,0.6,2.3,-2.3,2.0,-2.0,-1.8,1.8,13.5,-13.5,-1.7,1.7
112.5,100.0,125.0,362.3,0.5,-0.5,11.1,-11.1,0.8,0.8,-1.6,1.8,2.3,-2.0,-0.7,0.6,1.2,-1.1,4.8,-4.5,2.6,-2.4,-0.05,-0.1,-0.1,-0.1,0.6,-0.2,-0.7,1.1,1.4,-1.0,6.9,-6.6,1.7,-1.6,-10.2,10.3,0.02,0.01,0.03,0.02,12.5,-12.5,-3.1,3.4,-1.0,1.2,-0.7,0.9,-0.03,-0.01,-1.4,-1.7,1.7,-1.3,2.5,-2.1,-0.1,0.4,-0.2,0.2,1.7,-1.5,4.1,-4.0,2.1,-1.9,1.0,-0.8,-0.01,-0.02,-7.6,8.1,-5.8,5.8,-6.5,6.5,1.2,-0.9,-0.5,1.2,0.03,-0.1,-1.6,1.6,-1.9,1.9,0.4,-0.4,2.0,-2.0,-0.02,0.02,0.1,-0.1,1.7,-1.7,0.3,-0.3,-1.6,1.6,-0.4,0.4,-0.2,0.2,1.0,-1.0,-1.1,1.1,7.6,-7.6,-0.7,0.7
137.5,125.0,150.0,171.2,0.4,-0.4,4.8,-5.1,1.1,-0.9,-0.9,1.1,0.7,-0.6,0.6,0.3,0.6,-0.5,2.0,-1.9,1.2,-1.1,-0.02,-0.02,-0.04,-0.03,0.3,-0.1,-0.3,0.5,0.7,-0.7,3.0,-3.0,0.8,-0.7,-5.0,4.8,0.01,0.004,0.01,0.01,4.5,-4.5,-2.0,2.0,-0.6,0.7,-0.3,0.4,-0.02,-0.01,-0.9,-1.0,0.7,-0.6,0.9,-0.9,-0.04,0.2,-0.1,0.1,0.9,-0.8,2.1,-2.1,1.0,-1.0,0.5,-0.4,-0.003,-0.01,-3.0,3.0,-2.5,2.5,-2.6,2.6,0.6,-0.4,-0.2,0.4,0.01,-0.05,-0.9,0.9,-0.8,0.8,0.2,-0.2,0.8,-0.8,-0.005,0.005,0.1,-0.1,1.0,-1.0,0.2,-0.2,-1.0,1.0,-0.3,0.3,-0.1,0.1,0.5,-0.5,-0.8,0.8,3.9,-3.9,-0.3,0.3
162.5,150.0,175.0,86.49,0.39,-0.39,2.57,-2.49,0.88,-0.74,-0.64,0.64,0.34,-0.28,0.29,0.13,0.32,-0.26,1.04,-0.95,0.69,-0.65,-0.01,-0.01,-0.02,-0.01,0.13,-0.05,-0.18,0.26,0.37,-0.33,1.47,-1.44,0.47,-0.45,-2.58,2.53,0.004,0.002,0.01,0.005,1.88,-1.88,-1.15,1.23,-0.32,0.34,-0.17,0.21,-0.01,-0.004,-0.61,-0.51,0.34,-0.32,0.43,-0.44,-0.02,0.09,-0.06,0.06,0.48,-0.44,1.14,-1.15,0.58,-0.56,0.25,-0.2,-0.001,-0.004,-1.4,1.37,-1.1,1.1,-1.27,1.27,0.29,-0.21,-0.1,0.2,0.0003,-0.02,-0.48,0.48,-0.4,0.4,0.09,-0.09,0.37,-0.37,-0.001,0.001,0.03,-0.03,0.61,-0.61,0.09,-0.09,-0.61,0.61,-0.18,0.18,-0.12,0.12,0.3,-0.3,-0.5,0.5,1.27,-1.27,-0.18,0.18
187.5,175.0,200.0,46.16,0.28,-0.28,1.43,-1.32,0.56,-0.58,-0.34,0.38,0.18,-0.15,0.16,0.07,0.17,-0.14,0.54,-0.5,0.33,-0.36,-0.01,-0.01,-0.01,-0.01,0.07,-0.03,-0.09,0.14,0.2,-0.18,0.67,-0.74,0.25,-0.24,-1.41,1.38,0.002,0.001,0.004,0.002,0.84,-0.84,-0.68,0.72,-0.17,0.18,-0.09,0.11,-0.004,-0.002,-0.4,-0.4,0.18,-0.17,0.23,-0.23,-0.01,0.05,-0.03,0.03,0.25,-0.23,0.61,-0.66,0.31,-0.3,0.14,-0.11,-0.001,-0.002,-0.68,0.65,-0.6,0.6,-0.56,0.56,0.15,-0.11,-0.05,0.11,0.0004,-0.01,-0.32,0.32,-0.21,0.21,0.05,-0.05,0.2,-0.2,-0.001,0.001,0.02,-0.02,0.36,-0.36,0.05,-0.05,-0.36,0.36,-0.13,0.13,-0.1,0.1,0.17,-0.17,-0.35,0.35,1.9,-1.9,-0.09,0.09
225.0,200.0,250.0,20.34,0.16,-0.16,0.58,-0.64,0.29,-0.3,-0.2,0.17,0.08,-0.07,0.07,0.03,0.07,-0.06,0.2,-0.22,0.15,-0.16,-0.003,-0.003,-0.004,-0.004,0.03,-0.01,-0.04,0.06,0.09,-0.08,0.28,-0.27,0.11,-0.1,-0.6,0.56,0.001,0.0004,0.002,0.001,0.31,-0.31,-0.32,0.34,-0.08,0.08,-0.04,0.05,-0.002,-0.001,-0.18,-0.17,0.08,-0.07,0.1,-0.1,-0.01,0.02,-0.01,0.01,0.11,-0.1,0.27,-0.28,0.14,-0.13,0.06,-0.05,-0.0003,-0.001,-0.22,0.26,-0.25,0.25,-0.27,0.27,0.07,-0.05,-0.02,0.04,-0.001,-0.004,-0.14,0.14,-0.09,0.09,0.02,-0.02,0.08,-0.08,-0.0004,0.0004,0.01,-0.01,0.17,-0.17,0.02,-0.02,-0.17,0.17,-0.08,0.08,0.03,-0.03,0.08,-0.08,-0.18,0.18,0.42,-0.42,-0.04,0.04
275.0,250.0,300.0,7.263,0.096,-0.096,0.212,-0.222,0.138,-0.129,-0.07,0.06,0.028,-0.023,0.024,0.011,0.027,-0.021,0.072,-0.079,0.053,-0.057,-0.001,-0.001,-0.002,-0.001,0.011,-0.004,-0.015,0.022,0.031,-0.028,0.099,-0.096,0.04,-0.037,-0.179,0.193,0.0003,0.0001,0.001,0.0004,0.109,-0.109,-0.118,0.133,-0.027,0.029,-0.014,0.017,-0.001,-0.0003,-0.064,-0.063,0.029,-0.027,0.036,-0.037,-0.002,0.008,-0.005,0.005,0.04,-0.037,0.097,-0.102,0.049,-0.047,0.021,-0.017,-0.0001,-0.0004,-0.078,0.091,-0.088,0.088,-0.097,0.097,0.024,-0.018,-0.008,0.015,-0.001,-0.001,-0.05,0.05,-0.034,0.034,0.012,-0.012,0.027,-0.027,0.0002,-0.0002,0.002,-0.002,0.064,-0.065,0.009,-0.009,-0.065,0.065,-0.044,0.044,-0.013,0.013,0.029,-0.029,-0.104,0.104,0.148,-0.148,-0.015,0.015
