$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$d\sigma^{W^}/dH_\text{T}\text{ [fb/GeV]}$,Stat ,Stat -,JetScaleEff1 ,JetScaleEff1 -,JetScaleEff2 ,JetScaleEff2 -,JetScaleEff3 ,JetScaleEff3 -,JetScaleEff4 ,JetScaleEff4 -,JetScaleEff5 ,JetScaleEff5 -,JetScaleEff6 ,JetScaleEff6 -,JetScaleEta1 ,JetScaleEta1 -,JetScaleEta2 ,JetScaleEta2 -,JetScaleHighPt ,JetScaleHighPt -,JetScaleMC ,JetScaleMC -,JetScalePileup1 ,JetScalePileup1 -,JetScalePileup2 ,JetScalePileup2 -,JetScalePileup3 ,JetScalePileup3 -,JetScalePileup4 ,JetScalePileup4 -,JetScaleFlav1Known ,JetScaleFlav1Known -,JetScaleFlav2 ,JetScaleFlav2 -,JetScaleBjet ,JetScaleBjet -,JetScalepunchT ,JetScalepunchT -,JetResolution10 ,JetResolution10 -,JetSFBeff ,JetSFBeff -,JetSFCeff ,JetSFCeff -,JetSFLmistag ,JetSFLmistag -,JetSFHighPt ,JetSFHighPt -,JetJVFcut ,JetJVFcut -,ElScaleR12 ,ElScaleR12 -,ElScaleZee ,ElScaleZee -,ElScalePS ,ElScalePS -,ElResolution ,ElResolution -,ElSFReco ,ElSFReco -,ElSFId ,ElSFId -,ElSFTrigger ,ElSFTrigger -,ElSFIso ,ElSFIso -,ElSFChargeMisID ,ElSFChargeMisID -,METScale ,METScale -,METResLong ,METResLong -,METResTrans ,METResTrans -,PileupWeight ,PileupWeight -,QCDlowRange ,QCDlowRange -,QCDhighRange ,QCDhighRange -,QCDvarIso ,QCDvarIso -,QCDvarElID ,QCDvarElID -,QCDfitUncert ,QCDfitUncert -,QCDotherGen ,QCDotherGen -,QCDfitRebin ,QCDfitRebin -,XsecZ ,XsecZ -,XsecTop ,XsecTop -,XsecDibos ,XsecDibos -,BkgTtbarNorm ,BkgTtbarNorm -,BkgMCstat ,BkgMCstat -,WHFmodel ,WHFmodel -,LumiUncert ,LumiUncert -,UnfoldMCstat ,UnfoldMCstat -,UnfoldOtherGen ,UnfoldOtherGen -,UnfoldReweight ,UnfoldReweight -
75,50,100,217,0.3,-0.3,13.6,-13.2,-3.1,3.4,0.5,-0.2,0.1,-0.1,-0.4,0.5,0.9,-0.9,7.2,-6.7,3.8,-3.4,0.02,0.02,0.03,0.02,0.5,-0.1,-1.4,2.2,0.4,-0.3,9.5,-8.9,3,-2.7,-10.8,11.1,0.03,0.02,0.02,0.02,24.2,-24.2,-0.2,0.2,-0.1,0.3,-0.3,0.3,0.02,0.02,-2.1,2,-0.1,0.1,-0.2,0.1,-0.04,0.05,-0.5,0.5,0.5,-0.5,2,-2,1.6,-1.6,0.5,-0.4,0.02,0.01,-1.6,1.6,-1.1,1.1,-0.8,0.8,1.3,-1.2,-0.1,4.1,0.4,-0.5,-0.5,0.5,4.2,-4.2,0.4,-0.4,0.9,-0.9,-0.1,0.1,-0.7,0.7,0.1,-0.1,0.1,-0.1,-0.03,0.03,-0.2,0.2,-1.7,1.7,0.4,-0.4,-0.7,0.7,-4.2,4.2,7.9,-7.9
125,100,150,3763,3,-3,183,-186,-46,46,3,-4,2,-2,-6,8,11,-11,92,-90,46,-46,0.3,0.4,1,0.4,4,-1,-20,24,5,-5,120,-122,36,-37,-148,146,1,0.3,0.4,0.4,330,-330,-3,3,-4,5,-5,6,0.3,0.4,-31,15,-2,1,26,-30,-1,1,-3,3,9,-9,29,-29,22,-23,7,-7,0.3,0.2,-35,34,-28,28,-28,28,18,-17,-1,31,3,-4,-4,4,22,-22,3,-3,6,-6,-1,1,-2,2,1,-1,1,-1,-0.5,0.5,-1,1,-5,5,5,-5,-5,5,170,-170,31,-31
175,150,200,1388,1,-1,62,-63,-12,12,1,-1,7,-6,-2,2,4,-3,31,-29,15,-14,0.1,0.1,0.2,0.1,2,-0.5,-5,7,4,-3,39,-38,10,-10,-51,50,0.2,0.1,0.1,0.1,119,-119,-3,4,-2,3,-2,3,0.1,0.1,-8,6,3,-3,19,-19,-0.3,0.3,-1,1,4,-3,11,-11,8,-8,3,-3,0.1,0.1,-37,36,-31,31,-33,33,10,-9,-2,8,1,-1,-2,2,7,-7,2,-2,-0.3,0.3,-0.2,0.2,-1,1,2,-2,1,-1,-1,1,-1,1,11,-11,2,-2,-2,2,71,-71,-3,3
225,200,250,582.1,0.9,-0.9,22,-21.8,-1.4,1.6,-1.4,1.5,3.7,-3.4,-0.9,0.8,1.7,-1.5,10.2,-9.7,4.9,-4.6,0.04,0.1,0.1,0.1,0.7,-0.2,-1.6,2.1,2,-1.5,13.2,-12.9,3.4,-3.1,-18.2,18.6,0.1,0.04,0.1,0.1,36.1,-36.1,-3.1,3.3,-1,1.1,-1.2,1.1,0.05,0.1,-2.9,2.4,2.4,-2.4,7.4,-7.2,-0.1,0.1,-0.5,0.5,2,-1.8,5.3,-5.2,3.2,-3.2,1.2,-1.1,0.04,0.02,-14.1,14.5,-12.2,12.2,-12.9,12.9,2.8,-2.7,-1.1,2.7,0.6,-0.2,-0.6,0.6,3.1,-3.1,1.1,-1.1,0.4,-0.4,-0.1,0.1,-0.3,0.3,1.7,-1.7,0.5,-0.5,-1.3,1.3,-0.5,0.5,5.8,-5.8,1.2,-1.2,-1.2,1.2,30.4,-30.4,-1.5,1.5
275,250,300,284,0.6,-0.6,9.6,-9.8,-0.7,0.8,-0.7,1.1,1.7,-1.6,-0.4,0.4,0.9,-0.8,4.6,-4.4,2.3,-2.1,0.02,0.03,0.04,0.03,0.3,-0.1,-0.9,1,1,-0.7,5.8,-6,1.6,-1.4,-8.7,8.5,0.04,0.02,0.03,0.03,14.2,-14.2,-2.8,2.9,-0.8,0.8,-0.6,0.7,0.02,0.03,-1.8,1.2,1.3,-1.3,3.1,-3,-0.1,0.1,-0.3,0.3,1,-1,2.8,-2.8,1.6,-1.7,0.7,-0.7,0.02,0.01,-5.9,6.2,-5.2,5.2,-5.6,5.6,0.7,-0.6,-0.6,1.2,0.3,-0.1,-0.3,0.3,-0.9,0.9,0.6,-0.6,0.4,-0.4,0.03,-0.03,-0.1,0.1,1.5,-1.5,0.2,-0.2,-1.3,1.3,-0.3,0.3,2.8,-2.8,0.8,-0.8,-0.7,0.7,10.8,-10.8,-0.7,0.7
325,300,350,153.8,0.5,-0.5,5,-5.3,-0.4,0.4,-0.7,0.6,0.7,-0.8,-0.2,0.2,0.5,-0.5,2.4,-2.4,1.2,-1.2,0.01,0.01,0.02,0.01,0.2,-0.1,-0.5,0.4,0.5,-0.5,3,-3.1,1,-1,-4.9,4.5,0.02,0.01,0.02,0.02,6.4,-6.4,-2.2,2.3,-0.5,0.4,-0.4,0.4,0.01,0.02,-1.4,-0.8,0.7,-0.7,1.4,-1.4,-0.03,0.03,-0.1,0.1,0.6,-0.6,1.6,-1.7,0.9,-1,0.4,-0.4,0.01,0.01,-3,2.9,-2.8,2.8,-2.7,2.7,0.4,-0.3,-0.3,0.6,0.1,-0.02,-0.2,0.2,-0.5,0.5,0.4,-0.4,0.3,-0.3,0.05,-0.05,-0.01,0.01,1.1,-1.1,0.1,-0.1,-1.1,1.1,-0.2,0.2,1.4,-1.4,0.5,-0.5,-0.5,0.5,4.8,-4.8,-0.4,0.4
375,350,400,88.49,0.34,-0.34,2.91,-2.98,0.37,0.24,-0.39,0.37,0.32,-0.32,-0.14,0.12,0.33,-0.31,1.33,-1.29,0.73,-0.74,0.01,0.01,0.01,0.01,0.1,-0.03,-0.27,0.24,0.27,-0.29,1.81,-1.79,0.62,-0.61,-2.67,2.69,0.01,0.01,0.01,0.01,3.29,-3.29,-1.56,1.61,-0.26,0.25,-0.25,0.21,0.01,0.01,-0.99,-0.63,0.45,-0.45,0.78,-0.78,-0.02,0.02,-0.08,0.08,0.34,-0.36,0.98,-0.97,0.55,-0.56,0.21,-0.22,0.01,0.004,-1.58,1.59,-1.38,1.38,-1.4,1.4,0.21,-0.2,-0.2,0.3,0.05,0.01,-0.1,0.1,-0.28,0.28,0.25,-0.25,0.18,-0.18,0.05,-0.05,0.01,-0.01,0.77,-0.78,0.07,-0.07,-0.78,0.78,-0.18,0.18,0.87,-0.87,0.34,-0.34,-0.34,0.34,3.09,-3.09,-0.22,0.22
425,400,450,54,0.26,-0.26,1.93,-1.85,0.23,-0.31,-0.33,0.3,0.2,-0.19,-0.09,0.07,0.2,-0.19,0.81,-0.83,0.45,-0.48,0.004,0.01,0.01,0.01,0.06,-0.02,-0.16,0.15,0.16,-0.18,1.16,-1.14,0.38,-0.41,-1.74,1.73,0.01,0.004,0.01,0.01,1.89,-1.89,-1.08,1.14,-0.24,0.24,-0.15,0.13,0.004,0.01,-0.75,-0.53,0.27,-0.27,0.5,-0.52,-0.01,0.01,-0.05,0.05,0.23,-0.23,0.6,-0.61,0.34,-0.35,0.13,-0.13,0.004,0.002,-0.94,0.93,-0.88,0.88,-0.84,0.84,0.13,-0.12,-0.14,0.17,0.02,0.02,-0.06,0.06,-0.17,0.17,0.17,-0.17,0.11,-0.11,0.04,-0.04,0.002,-0.002,0.52,-0.53,0.04,-0.04,-0.53,0.53,-0.13,0.13,0.48,-0.48,0.22,-0.22,-0.26,0.26,1.62,-1.62,-0.14,0.14
475,450,500,34.04,0.21,-0.21,1.16,-1.23,0.14,-0.19,-0.21,0.19,0.12,-0.12,-0.05,0.05,0.13,-0.12,0.48,-0.51,0.3,-0.29,0.003,0.003,0.01,0.003,0.04,-0.01,-0.1,0.09,0.1,-0.11,0.68,-0.72,0.27,-0.26,-1.09,1.05,0.01,0.002,0.004,0.004,1.07,-1.07,-0.73,0.77,-0.15,0.15,-0.1,0.08,0.003,0.003,-0.51,-0.4,0.19,-0.17,0.32,-0.29,-0.01,0.01,-0.03,0.03,0.15,-0.15,0.38,-0.38,0.21,-0.22,0.08,-0.08,0.002,0.001,-0.59,0.53,-0.59,0.59,-0.54,0.54,0.08,-0.08,-0.09,0.1,0.002,0.03,-0.04,0.04,-0.18,0.18,0.12,-0.12,0.07,-0.07,0.04,-0.04,0.005,-0.005,0.35,-0.35,0.02,-0.02,-0.36,0.36,-0.1,0.1,0.35,-0.35,0.14,-0.14,-0.2,0.2,1.05,-1.05,-0.09,0.09
525,500,550,21.85,0.16,-0.16,0.77,-0.86,0.18,-0.12,-0.14,0.12,0.08,-0.08,-0.03,0.03,0.08,-0.08,0.28,-0.31,0.19,-0.19,0.002,0.002,0.003,0.002,0.03,-0.01,-0.07,0.06,0.07,-0.07,0.38,-0.44,0.17,-0.16,-0.71,0.68,0.003,0.002,0.002,0.002,0.7,-0.7,-0.51,0.51,-0.1,0.1,-0.06,0.05,0.002,0.002,-0.34,-0.28,0.12,-0.11,0.19,-0.18,-0.004,0.005,-0.02,0.02,0.09,-0.09,0.26,-0.25,0.14,-0.13,0.05,-0.05,0.002,0.001,-0.39,0.36,-0.34,0.34,-0.35,0.35,0.05,-0.05,-0.06,0.06,-0.002,0.03,-0.02,0.02,-0.11,0.11,0.08,-0.08,0.04,-0.04,0.03,-0.03,0.01,-0.01,0.23,-0.23,0.01,-0.01,-0.24,0.24,-0.08,0.08,0.21,-0.21,0.1,-0.1,-0.15,0.15,0.63,-0.63,-0.05,0.05
