$p_\text{T}^\text{W}\text{ [GeV]}$,$p_\text{T}^\text{W}\text{ [GeV]}$ LOW,$p_\text{T}^\text{W}\text{ [GeV]}$ HIGH,$d\sigma^{W^}/dp_\text{T}^\text{W}\text{ [fb/GeV]}$,Stat ,Stat -,JetScaleEff1 ,JetScaleEff1 -,JetScaleEff2 ,JetScaleEff2 -,JetScaleEff3 ,JetScaleEff3 -,JetScaleEff4 ,JetScaleEff4 -,JetScaleEff5 ,JetScaleEff5 -,JetScaleEff6 ,JetScaleEff6 -,JetScaleEta1 ,JetScaleEta1 -,JetScaleEta2 ,JetScaleEta2 -,JetScaleHighPt ,JetScaleHighPt -,JetScaleMC ,JetScaleMC -,JetScalePileup1 ,JetScalePileup1 -,JetScalePileup2 ,JetScalePileup2 -,JetScalePileup3 ,JetScalePileup3 -,JetScalePileup4 ,JetScalePileup4 -,JetScaleFlav1Known ,JetScaleFlav1Known -,JetScaleFlav2 ,JetScaleFlav2 -,JetScaleBjet ,JetScaleBjet -,JetScalepunchT ,JetScalepunchT -,JetResolution10 ,JetResolution10 -,JetSFBeff ,JetSFBeff -,JetSFCeff ,JetSFCeff -,JetSFLmistag ,JetSFLmistag -,JetSFHighPt ,JetSFHighPt -,JetJVFcut ,JetJVFcut -,ElScaleR12 ,ElScaleR12 -,ElScaleZee ,ElScaleZee -,ElScalePS ,ElScalePS -,ElResolution ,ElResolution -,ElSFReco ,ElSFReco -,ElSFId ,ElSFId -,ElSFTrigger ,ElSFTrigger -,ElSFIso ,ElSFIso -,ElSFChargeMisID ,ElSFChargeMisID -,METScale ,METScale -,METResLong ,METResLong -,METResTrans ,METResTrans -,PileupWeight ,PileupWeight -,QCDlowRange ,QCDlowRange -,QCDhighRange ,QCDhighRange -,QCDvarIso ,QCDvarIso -,QCDvarElID ,QCDvarElID -,QCDfitUncert ,QCDfitUncert -,QCDotherGen ,QCDotherGen -,QCDfitRebin ,QCDfitRebin -,XsecZ ,XsecZ -,XsecTop ,XsecTop -,XsecDibos ,XsecDibos -,BkgTtbarNorm ,BkgTtbarNorm -,BkgMCstat ,BkgMCstat -,WHFmodel ,WHFmodel -,LumiUncert ,LumiUncert -,UnfoldMCstat ,UnfoldMCstat -,UnfoldOtherGen ,UnfoldOtherGen -,UnfoldReweight ,UnfoldReweight -
12.5,0,25,2322,2,-2,126,-125,-31,32,5,-4,0.4,0.2,-4,6,8,-7,67,-64,33,-31,0.2,0.2,0.3,0.3,5,-2,-13,17,3,-3,84,-83,26,-25,-101,102,0.3,0.2,0.2,0.3,214,-214,-6,7,-3,4,-4,4,0.2,0.2,-23,14,-2,2,20,-23,-0.5,0.5,-3,3,5,-5,18,-17,14,-14,4,-4,0.03,0.1,6,1,20,-20,11,-11,17,-16,-4,29,3,-3,3,-3,48,-48,5,-5,4,-4,-1,1,-6,6,3,-3,1,-1,-2,2,-2,2,-13,13,4,-4,-4,4,40,-40,48,-48
37.5,25,50,5644,1,-1,277,-281,-69,70,10,-9,5,-4,-11,13,17,-16,140,-136,71,-69,0.4,1,1,1,8,-4,-30,38,8,-7,183,-185,56,-56,-223,222,1,1,0.5,1,496,-496,-10,11,-7,9,-8,9,1,1,-47,31,4,-4,52,-56,-1,1,-8,8,14,-13,44,-44,34,-35,10,-10,0.1,0.2,-106,99,-99,99,-95,95,33,-30,-4,42,4,-5,-4,4,19,-19,7,-7,8,-8,-1,1,-4,4,5,-5,2,-2,-3,3,-2,2,13,-13,8,-8,-7,7,463,-463,-29,29
62.5,50,75,2973,1,-1,126,-131,-25,25,-3,2,15,-15,-5,5,7,-7,59,-58,29,-29,0.2,0.3,0.4,0.3,3,-2,-12,14,7,-7,78,-80,21,-22,-103,100,0.4,0.3,0.2,0.3,225,-225,-8,9,-5,5,-5,5,0.3,0.3,-15,5,6,-6,26,-28,-1,1,-2,2,8,-8,24,-24,18,-18,6,-6,0.04,0.1,-85,80,-76,76,-76,76,18,-17,-2,18,2,-2,-7,7,10,-10,3,-3,3,-3,-0.3,0.3,0.3,-0.3,4,-4,2,-2,-3,3,-1,1,16,-16,5,-5,-4,4,58,-58,-7,7
87.5,75,100,1210,1,-1,42,-42,-4,4,-3,4,8,-8,-2,2,3,-3,20,-19,10,-9,0.1,0.1,0.2,0.1,1,-1,-3,4,4,-3,25,-25,6,-6,-35,35,0.2,0.1,0.1,0.1,58,-58,-6,6,-2,2,-2,2,0.1,0.1,-3,-2,3,-3,9,-9,-0.2,0.2,-1,1,4,-4,11,-11,7,-7,3,-2,0.02,0.05,-29,31,-23,23,-26,26,6,-6,-1,5,1,-0.5,-4,4,-2,2,1,-1,1,-1,-0.04,0.04,0.2,-0.2,3,-3,1,-1,-2,2,-1,1,8,-8,2,-2,-2,2,29,-29,-3,3
112.5,100,125,537.1,0.7,-0.7,15.5,-15.8,1.2,-1,-2.3,2.3,3,-3,-0.9,0.9,1.6,-1.7,7.3,-7.1,3.6,-3.6,0.04,0.1,0.1,0.1,0.6,-0.4,-1.1,1.1,1.6,-1.7,9.3,-9.6,2.4,-2.3,-14.9,14.4,0.1,0.05,0.04,0.1,15.5,-15.5,-3.7,3.8,-1.3,1,-1.2,1,0.1,0.1,-1.6,-1.9,1.6,-1.6,3,-3.1,-0.1,0.1,-0.4,0.4,2,-2.1,5.4,-5.6,2.9,-3,1.3,-1.4,0.01,0.02,-8.7,9.6,-6.9,6.9,-7.9,7.9,1.1,-1.2,-0.4,1.4,0.2,-0.1,-1.5,1.5,-3.1,3.1,0.4,-0.4,0.2,-0.2,0.004,-0.004,0.1,-0.1,1.9,-1.9,0.4,-0.4,-1.7,1.7,-0.5,0.5,3.9,-3.9,1.2,-1.2,-1.4,1.4,18.6,-18.6,-1.5,1.5
137.5,125,150,258.1,0.5,-0.5,6.5,-6.8,1.3,-1.4,-1.3,1.2,0.8,-0.9,-0.4,0.5,0.8,-0.9,3,-3.1,1.6,-1.7,0.02,0.02,0.03,0.03,0.3,-0.2,-0.5,0.5,0.8,-1,3.9,-4.1,1.1,-1.2,-6.9,6.6,0.03,0.02,0.02,0.03,5.1,-5.1,-2.3,2.4,-0.7,0.6,-0.6,0.5,0.02,0.03,-1.1,-1.1,0.8,-0.8,1.2,-1.4,-0.1,0.1,-0.2,0.2,1.1,-1.2,2.8,-2.9,1.4,-1.5,0.6,-0.7,0.004,0.01,-3.1,2.9,-2.6,2.6,-2.7,2.7,0.5,-0.6,-0.2,0.5,0.1,-0.03,-0.9,0.9,-1,1,0.2,-0.2,0.1,-0.1,0.01,-0.01,0.1,-0.1,1.2,-1.2,0.2,-0.2,-1.1,1.1,-0.3,0.3,1.5,-1.5,0.7,-0.7,-0.9,0.9,4.3,-4.3,-0.7,0.7
162.5,150,175,135,0.5,-0.5,3.5,-3.6,1.1,-1.2,-0.9,0.6,0.4,-0.5,-0.2,-0.5,0.4,-0.5,1.6,-1.6,1,-1.1,0.01,0.01,0.02,0.01,0.2,-0.1,-0.3,0.3,0.5,-0.5,2.2,-2.2,0.6,-0.6,-3.7,3.6,0.02,0.01,0.01,0.01,2.4,-2.4,-1.4,1.4,-0.4,0.3,-0.3,0.2,0.01,0.01,-0.6,-0.6,0.4,-0.4,0.6,-0.6,-0.03,0.03,-0.1,0.1,0.6,-0.6,1.5,-1.6,0.8,-0.8,0.3,-0.4,0.002,0.01,-1.3,1.3,-0.9,0.9,-1.1,1.1,0.3,-0.3,-0.1,0.2,0.04,-0.01,-0.6,0.6,-0.5,0.5,0.1,-0.1,0.1,-0.1,0.01,-0.01,0.03,-0.03,0.7,-0.7,0.1,-0.1,-0.7,0.7,-0.2,0.2,0.8,-0.8,0.4,-0.4,-0.6,0.6,2.6,-2.6,-0.4,0.4
187.5,175,200,73.55,0.36,-0.36,2.03,-1.93,0.8,-0.77,-0.53,0.59,0.24,-0.26,-0.12,-0.29,0.24,-0.25,0.81,-0.77,0.54,-0.51,0.01,0.01,0.01,0.01,0.08,-0.05,-0.15,0.15,0.29,-0.27,1.19,-1.1,0.3,-0.34,-1.93,2.03,0.01,0.01,0.01,0.01,1.28,-1.28,-0.78,0.79,-0.21,0.18,-0.18,0.13,0.01,0.01,-0.41,-0.4,0.23,-0.22,0.32,-0.32,-0.01,0.02,-0.06,0.06,0.32,-0.35,0.86,-0.86,0.44,-0.45,0.18,-0.2,0.001,0.003,-0.52,0.58,-0.45,0.45,-0.45,0.45,0.14,-0.16,-0.05,0.13,0.02,-0.01,-0.3,0.3,-0.3,0.3,0.06,-0.06,0.03,-0.03,0.01,-0.01,0.01,-0.01,0.4,-0.4,0.06,-0.06,-0.39,0.39,-0.14,0.14,0.36,-0.36,0.21,-0.21,-0.46,0.46,1.41,-1.41,-0.2,0.2
225,200,250,33.73,0.21,-0.21,0.94,-0.91,0.49,-0.41,-0.24,0.29,0.11,-0.12,-0.05,-0.13,0.11,-0.11,0.31,-0.31,0.25,-0.23,0.003,0.003,0.004,0.004,0.04,-0.02,-0.07,0.07,0.13,-0.13,0.43,-0.46,0.14,-0.16,-0.86,0.89,0.004,0.003,0.003,0.004,0.4,-0.4,-0.37,0.37,-0.1,0.08,-0.08,0.06,0.003,0.003,-0.19,-0.18,0.1,-0.1,0.15,-0.15,-0.01,0.01,-0.03,0.03,0.15,-0.16,0.4,-0.39,0.2,-0.21,0.08,-0.09,0.0005,0.001,-0.24,0.27,-0.21,0.21,-0.21,0.21,0.07,-0.07,-0.02,0.06,0.01,-0.001,-0.14,0.14,-0.14,0.14,0.03,-0.03,0.01,-0.01,0.003,-0.003,0.002,-0.002,0.19,-0.19,0.03,-0.03,-0.19,0.19,-0.08,0.08,0.11,-0.11,0.1,-0.1,-0.24,0.24,0.68,-0.68,-0.09,0.09
275,250,300,12.6,0.13,-0.13,0.32,-0.34,0.22,-0.22,-0.09,0.11,0.04,-0.04,-0.02,-0.05,0.04,-0.04,0.11,-0.12,0.09,-0.09,0.001,0.001,0.002,0.001,0.01,-0.01,-0.03,0.03,0.05,-0.05,0.15,-0.15,0.05,-0.06,-0.28,0.3,0.002,0.001,0.001,0.001,0.16,-0.16,-0.14,0.14,-0.04,0.03,-0.03,0.02,0.001,0.001,-0.07,-0.07,0.04,-0.04,0.06,-0.05,-0.002,0.003,-0.01,0.01,0.05,-0.06,0.16,-0.16,0.07,-0.08,0.03,-0.03,0.0002,0.001,-0.09,0.1,-0.08,0.08,-0.08,0.08,0.02,-0.03,-0.01,0.02,0.004,-0.002,-0.05,0.05,-0.05,0.05,0.01,-0.01,0.01,-0.01,0.001,-0.001,-0.001,0.001,0.07,-0.07,0.01,-0.01,-0.07,0.07,-0.06,0.06,0.08,-0.08,0.04,-0.04,-0.13,0.13,0.35,-0.35,-0.03,0.03
